function,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_div,last_time,generated_code,argument_size,output_size,temp_size,flops
IFFT,float64,256,256,256,1,32,NCCL,8,99.0884,3.3908,3.7928,3.6122,0.1136,3.4893,5352,8388608,8388608,16777216,524287.0
FFT,float64,256,256,256,32,1,NCCL,8,1086.1777,3.4656,88.505,12.0436,25.4872,3.4991,4968,4194304,8388608,16777216,524287.0
IFFT,float64,256,256,256,32,1,NCCL,8,101.2949,3.2863,3.7452,3.6104,0.1372,3.5669,5352,8388608,8388608,16777216,524287.0
FFT,float64,512,512,512,4,8,NCCL,8,1039.6065,28.4258,104.7308,36.4923,22.7491,29.3459,6760,33554432,67108864,134217728,4194303.0
IFFT,float64,512,512,512,4,8,NCCL,8,114.6361,30.4809,33.5218,32.1439,0.8292,32.7225,5352,67108864,67108864,134217728,4194303.0
FFT,float64,512,512,512,8,4,NCCL,8,1081.367,23.7283,98.2409,31.3965,22.2821,24.0501,6760,33554432,67108864,134217728,4194303.0
IFFT,float64,512,512,512,8,4,NCCL,8,113.6992,21.2989,21.5815,21.4205,0.0841,21.3923,5352,67108864,67108864,134217728,4194303.0
FFT,float64,512,512,512,1,32,NCCL,8,1085.9302,22.9221,99.8716,30.9329,22.9827,23.1474,6760,33554432,67108864,134217728,4194303.0
IFFT,float64,512,512,512,1,32,NCCL,8,118.3132,23.4079,25.2012,24.0003,0.6186,24.8926,5352,67108864,67108864,134217728,4194303.0
FFT,float64,512,512,512,32,1,NCCL,8,1197.8694,22.4109,99.894,30.5552,23.1145,22.8757,6760,33554432,67108864,134217728,4194303.0
IFFT,float64,512,512,512,32,1,NCCL,8,116.4381,23.161,23.6817,23.3884,0.1988,23.6817,5352,67108864,67108864,134217728,4194303.0
FFT,float64,1024,1024,1024,4,8,NCCL,8,1268.4445,231.997,311.0051,242.1961,23.0403,232.2585,5352,268435456,536870912,1073741824,33554432.0
IFFT,float64,1024,1024,1024,4,8,NCCL,8,319.0058,246.2193,265.1964,253.5051,5.8708,256.1851,5352,536870912,536870912,1073741824,33554432.0
FFT,float64,1024,1024,1024,8,4,NCCL,8,1190.0481,188.1321,246.5679,195.9922,16.8779,190.9816,5352,268435456,536870912,1073741824,33554432.0
IFFT,float64,1024,1024,1024,8,4,NCCL,8,260.5328,165.1056,167.4076,165.9916,0.5779,165.8848,5352,536870912,536870912,1073741824,33554432.0
FFT,float64,1024,1024,1024,1,32,NCCL,8,1332.3659,182.9653,266.0886,198.721,22.8484,193.3488,5352,268435456,536870912,1073741824,33554432.0
IFFT,float64,1024,1024,1024,1,32,NCCL,8,291.9667,195.6494,205.8173,199.0487,2.7949,200.1508,5352,536870912,536870912,1073741824,33554432.0
FFT,float64,1024,1024,1024,32,1,NCCL,8,1313.4234,184.2005,260.0419,197.9094,20.9495,191.2831,5352,268435456,536870912,1073741824,33554432.0
IFFT,float64,1024,1024,1024,32,1,NCCL,8,290.9736,190.6834,206.897,195.5809,5.011,201.5136,5352,536870912,536870912,1073741824,33554432.0
FFT,float64,2048,2048,2048,4,8,NCCL,8,3070.5502,1884.1615,1907.7205,1889.6449,6.769,1888.5487,5352,2147483648,4294967296,8589934592,268435456.0
IFFT,float64,2048,2048,2048,4,8,NCCL,8,1951.5305,2007.9735,2123.8707,2103.1793,32.1682,2117.5288,5352,4294967296,4294967296,8589934592,268435456.0
FFT,float64,2048,2048,2048,8,4,NCCL,8,2493.1829,1557.0048,1625.9435,1590.0897,22.5467,1604.3408,5352,2147483648,4294967296,8589934592,268435456.0
IFFT,float64,2048,2048,2048,8,4,NCCL,8,1353.3865,1343.5384,1356.762,1350.9765,4.6912,1354.8319,5352,4294967296,4294967296,8589934592,268435456.0
FFT,float64,2048,2048,2048,1,32,NCCL,8,2464.2754,1528.8908,1554.678,1540.2695,7.0568,1544.0253,5352,2147483648,4294967296,8589934592,268435456.0
IFFT,float64,2048,2048,2048,1,32,NCCL,8,1656.7231,1549.3804,1590.9767,1577.4868,11.1682,1572.4479,5352,4294967296,4294967296,8589934592,268435456.0
